date,ticker,has_news,news_count,sent_compound,sent_compound_std,sent_compound_min,sent_compound_max,sent_positive,sent_negative,positive_ratio,negative_ratio,sent_compound_roll5,sent_compound_std_roll5,sent_compound_min_roll5,sent_compound_max_roll5,sent_positive_roll5,sent_negative_roll5,positive_ratio_roll5,negative_ratio_roll5,emb_pca_0,emb_pca_1,emb_pca_2,emb_pca_3,emb_pca_4,emb_pca_5,emb_pca_6,emb_pca_7,emb_pca_8,emb_pca_9,emb_pca_10,emb_pca_11,emb_pca_12,emb_pca_13,emb_pca_14
2024-02-14,MSFT,1,1.0,0.044753738,0.0,0.044753738,0.044753738,0.058669705,0.013915969,0.0,0.0,0.24071261435747146,0.11759772300720214,0.08801171779632569,0.3315953388810158,0.26098056212067605,0.020267948880791663,0.32,0.0,-0.14288072,0.046784718,-0.021251824,-0.03459931,-0.12267761,-0.18066613,0.1500712,-0.014507487,-0.12729713,0.12147163,-0.003972031,-0.2653328,-0.17878781,-0.11314006,0.013410451
2024-02-15,MSFT,1,4.0,0.41787001,0.3947163,0.035452183,0.8621501,0.42937738,0.01150739,0.5,0.0,0.23812379390001298,0.1334477484226227,0.08124179914593696,0.3634776011109352,0.2512608326971531,0.013137049227952956,0.3,0.0,-0.12846553,-0.069886446,-0.066900566,-0.08222729,-0.15378654,-0.011751169,0.13284835,-0.0060492866,-0.006199524,0.03489176,0.020244732,-0.22688647,-0.14506863,0.005328063,0.057119012
2024-02-16,MSFT,1,2.0,-0.15207466,1.1020166,-0.93131804,0.6271687,0.32427832,0.476353,0.5,0.5,0.062109817564487454,0.2993465721607208,-0.17022242471575738,0.30681450515985487,0.1624650813639164,0.10035526975989342,0.2,0.1,-0.2249733,-0.017735248,-0.07848556,-0.17301485,0.0016438067,-0.04040645,-0.016316153,-0.028935902,-0.008252911,-0.014741894,-0.052086115,-0.0140095875,-0.0042878008,-0.110267624,0.032653198
2024-02-20,MSFT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062109817564487454,0.2993465721607208,-0.17022242471575738,0.30681450515985487,0.1624650813639164,0.10035526975989342,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-21,MSFT,1,4.0,0.694846,0.21351914,0.4198688,0.93027735,0.71110684,0.016260874,0.75,0.0,0.20107901245355606,0.3420504003763199,-0.08624866530299187,0.49286997467279436,0.30468644872307776,0.10360744446516038,0.35,0.1,-0.14031601,-0.011244891,-0.08593707,-0.0319752,-0.07324563,-0.081897065,0.123539224,-0.03838823,0.035988625,0.0083481595,-0.014772011,-0.0867165,-0.060315575,-0.045018606,-0.034013577
2024-02-22,MSFT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1921282649040222,0.3420504003763199,-0.09519941285252571,0.4839192271232605,0.2929525077342987,0.10082425065338611,0.35,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-23,MSFT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1085542619228363,0.2631071418523788,-0.10228984951972961,0.31148921251296996,0.20707703232765198,0.09852277263998985,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-26,MSFT,1,3.0,0.14635925,0.79159915,-0.6888656,0.8855751,0.4090625,0.26270324,0.3333333333333333,0.3333333333333333,0.16824104487895966,0.20102365911006928,-0.05379936099052429,0.36317049264907836,0.2240338683128357,0.05579282268881798,0.2166666666666667,0.06666666666666667,-0.22622637,-0.10462594,-0.07170169,-0.15635122,-0.13758735,-0.09918454,0.0772115,0.023329139,-0.029428182,-0.026475916,0.03215165,-0.08318033,-0.08673767,-0.033284992,0.084236205
2024-02-27,MSFT,1,1.0,0.03142906,0.0,0.03142906,0.03142906,0.04462652,0.01319746,0.0,0.0,0.17452685683965682,0.20102365911006928,-0.047513549029827115,0.3694563046097755,0.23295917212963105,0.05843231473118067,0.2166666666666667,0.06666666666666667,0.028450958,-0.1635833,0.2257944,0.018803388,-0.044067472,0.35256752,0.068659276,-0.005295649,0.015192628,0.122663625,-0.0684807,-0.071761474,0.143393,-0.09821826,-0.08190411
2024-02-28,MSFT,1,3.0,0.33968937,0.533995,-0.24563025,0.8002818,0.45205507,0.11236572,0.3333333333333333,0.0,0.10349553674459458,0.2651188254356384,-0.1806133583188057,0.3434571996331215,0.18114881813526154,0.07765328455716372,0.13333333333333336,0.06666666666666667,-0.22208373,-0.058680523,0.0006037566,-0.08248029,-0.07717388,-0.056871068,0.06535699,-0.011482909,-0.07022256,0.07633831,0.019781945,-0.13051467,-0.18125011,-0.103764094,0.10778299
